stage,teams,result
playoff,tempo-storm selfless,1
playoff,tempo-storm solomid,1
group-stage,envyus furia,2
group-stage,envyus one,1
group-stage,envyus one,1
group-stage,furia eunited,1
group-stage,nrg bravado,1
group-stage,nrg imperial-br,1
group-stage,one eunited,1
playoff,envyus intz-esports,1
playoff,furia envyus,1
playoff,furia intz-esports,1
playoff,nrg envyus,1
playoff,nrg furia,1
group-stage,clg misfits,1
group-stage,clg pain-gaming,1
group-stage,cloud9 clg,1
group-stage,complexity-gaming nrg,2
group-stage,immortals complexity-gaming,1
group-stage,immortals luminosity,1
group-stage,nrg luminosity,2
group-stage,nrg luminosity,2
group-stage,pain-gaming misfits,1
playoff,cloud9 clg,1
playoff,cloud9 immortals,2
playoff,immortals clg,1
playoff,immortals cloud9,2
playoff,luminosity clg,2
playoff,luminosity cloud9,2
group-stage,complexity-gaming furia,1
group-stage,complexity-gaming rogue,2
group-stage,complexity-gaming team-dignitas,1
group-stage,eunited nao-tem-como,1
group-stage,eunited nao-tem-como,1
group-stage,furia team-dignitas,2
group-stage,nrg eunited,1
group-stage,nrg swole-patrol,1
group-stage,rogue team-dignitas,1
playoff,complexity-gaming eunited,1
playoff,eunited nrg,1
playoff,eunited rogue,2
playoff,nrg complexity-gaming,2
playoff,rogue complexity-gaming,1
playoff,rogue complexity-gaming,2
north-america,cloud9 livid-gaming,1
north-america,envyus asunas-anime-aimers,1
north-america,envyus chaos-esports-club,1
north-america,envyus swole-identity,1
north-america,envyus the-gaming-stadium,1
north-america,eunited ze-pug-godz,2
north-america,faint-gaming envyus,2
north-america,furia envyus,1
north-america,furia triumph,1
north-america,gameagents envyus,2
north-america,mythic cloud9,2
north-america,yeah envyus,2
south-america,boom one,2
south-america,one boom,2
south-america,one elite-fenix,1
south-america,one evidence-e-sports,1
south-america,one imperial-br,2
south-america,one lions-gaming,1
south-america,one nativus,1
south-america,one nocturns-gaming,1
south-america,one pain-gaming,1
south-america,one red-canids,2
south-america,one rensga,1
south-america,sharks imperial-br,2
south-america,sharks pain-gaming,2
playoff,goodjob dream-eaters,1
brazil,bravos sharks,1
brazil,sharks jaguares,1
brazil,sharks paqueta,2
playoff,cr4zy sj,1
playoff,furia cloud9,1
playoff,furia cr4zy,1
group-stage,alpha-red mvp-pk,2
group-stage,alpha-red tyloo,2
group-stage,mvp-pk alpha-red,2
group-stage,mvp-pk ffamix,1
group-stage,tyloo ffamix,1
playoff,grayhound-gaming mvp-pk,1
playoff,grayhound-gaming tyloo,1
playoff,mvp-pk avant,1
playoff,tyloo avant,1
playoff,tyloo mvp-pk,1
group-stage,kings mvp-pk,1
group-stage,kings mvp-pk,2
group-stage,renegades kings,1
group-stage,renegades the-mongolz,1
group-stage,the-mongolz mvp-pk,2
group-stage,tyloo flash-gaming,1
group-stage,tyloo tainted-minds,1
playoff,flash-gaming mvp-pk,1
playoff,flash-gaming tyloo,2
playoff,renegades flash-gaming,1
playoff,renegades tyloo,1
playoff,renegades tyloo,1
playoff,,
group-stage,,
group-stage,,
group-stage,vg-cyberzen the-mongolz,1
group-stage,,
group-stage,gosu vici-gaming,2
group-stage,,
group-stage,renegades aequus,1
group-stage,,
group-stage,,
group-stage,,
playoff,grayhound-gaming vici-gaming,1
playoff,mvp-pk grayhound-gaming,2
playoff,renegades grayhound-gaming,1
playoff,renegades vici-gaming,1
playoff,vici-gaming mvp-pk,1
group-stage,7642 the-mongolz,2
group-stage,immunity the-mongolz,1
group-stage,immunity the-mongolz,1
group-stage,tyloo 7642,1
group-stage,tyloo immunity,1
playoff,immunity tyloo,2
playoff,renegades tyloo,1
playoff,tyloo flash-gaming,1
playoff,tyloo renegades,2
group-stage,renegades b.o.o.t-d-s,1
group-stage,renegades b.o.o.t-d-s,1
group-stage,sz-absolute renegades,1
group-stage,tyloo 5power,1
group-stage,tyloo tainted-minds,1
group-stage,vg-flash b.o.o.t-d-s,2
group-stage,vg-flash sz-absolute,2
playoff,renegades sz-absolute,1
playoff,tainted-minds renegades,2
playoff,tyloo renegades,1
playoff,tyloo renegades,2
playoff,tyloo tainted-minds,1
china,ehome vici-gaming,2
china,tyloo ehome,1
china,tyloo lynn-vision,1
china,tyloo vici-gaming,2
china,tyloo wubbalubbadubdub,1
china,vici-gaming jijiehao,1
east-asia,ignis mvp-pk,2
east-asia,ikarus mvp-pk,2
east-asia,mvp-pk d13,2
east-asia,mvp-pk d13,2
oceania,order chiefs,1
oceania,order skyfire,1
oceania,renegades avant,1
oceania,renegades catman,1
oceania,renegades order,1
oceania,rooster order,2
playoff,ence skitlite-gaming,1
playoff,havu-gaming ence,2
group-b,ence ldlc-white,1
group-b,ence millenium,1
playoff,ence copenhagen-wolves,1
playoff,ldlc-white ence,1
group-stage,ldlc pro100,2
group-stage,pro100 conquer-gaming,1
playoff,pro100 havu-gaming,2
group-stage,kova-esports ldlc,2
group-stage,kynyniekat ldlc,2
playoff,ldlc havu-gaming,2
playoff,ldlc sj,1
playoff,ence havu-gaming,1
playoff,ence havu-gaming,1
playoff,ence sj,1
group-stage,ence archangels,1
group-stage,ence space-soldiers,1
group-stage,epsilon escape,1
group-stage,epsilon lgr,1
group-stage,epsilon millenium,2
group-stage,space-soldiers tricked,1
group-stage,tricked space-soldiers,2
playoff,epsilon ence,1
playoff,millenium space-soldiers,2
playoff,space-soldiers epsilon,1
playoff,alternate havu-gaming,2
playoff,ence havu-gaming,1
playoff,ence sj,1
playoff,sj alternate,1
closed-qualifier,lemondogs quantum-bellator,1
closed-qualifier,quantum-bellator brandbergen,1
playoff,big nip,1
group-stage,giants-gaming l4org,1
group-stage,giants-gaming no-limit-gaming,1
playoff,exploit giants-gaming,2
playoff,nexus giants-gaming,1
playoff,unicorns-of-love giants-gaming,2
playoff,avangar fragsters,2
playoff,fragsters godsent,1
playoff,godsent spirit,1
playoff,quantum-bellator red-reserve,2
stage-1,abv elements,2
stage-1,abv espada,2
stage-1,alternate epsilon,2
stage-1,alternate windigo,1
stage-1,deepdarkdanger elements,2
stage-1,dream-eaters nova,1
stage-1,dream-eaters rave,1
stage-1,elements qup,1
stage-1,elements space-jam,2
stage-1,epsilon north-academy,1
stage-1,fluffy-gangsters espada,1
stage-1,gameagents epsilon,1
stage-1,goodjob dream-eaters,1
stage-1,ha-masse dream-eaters,2
stage-1,ha-masse espada,2
stage-1,kliktech epsilon,2
stage-1,nova elements,1
stage-1,rave espada,1
stage-1,teamswagyolo espada,2
stage-1,venatores windigo,1
stage-1,windigo epsilon,1
stage-1,windigo red-reserve,2
stage-1,windigo singularity,1
stage-2,avangar dream-eaters,1
stage-2,avangar elements,1
stage-2,avangar fluffy-gangsters,1
stage-2,avangar nemiga,1
stage-2,avangar quantum-bellator,1
stage-2,avangar spirit,1
stage-2,dream-eaters fluffy-gangsters,1
stage-2,dream-eaters nemiga,2
stage-2,dream-eaters quantum-bellator,2
stage-2,dream-eaters rave,1
stage-2,dream-eaters space-jam,1
stage-2,elements dream-eaters,1
stage-2,elements fluffy-gangsters,1
stage-2,elements nemiga,1
stage-2,epsilon gameagents,1
stage-2,epsilon kinguin,1
stage-2,epsilon pride,2
stage-2,epsilon red-reserve,1
stage-2,epsilon x-kom,1
stage-2,fluffy-gangsters quantum-bellator,2
stage-2,forze avangar,1
stage-2,forze dream-eaters,1
stage-2,forze elements,2
stage-2,forze spirit,2
stage-2,fragsters epsilon,1
stage-2,fragsters godsent,1
stage-2,gameagents kinguin,2
stage-2,godsent epsilon,1
stage-2,godsent gameagents,1
stage-2,godsent havu-gaming,1
stage-2,godsent noreg,2
stage-2,godsent pride,1
stage-2,godsent red-reserve,1
stage-2,goodjob avangar,2
stage-2,goodjob dream-eaters,1
stage-2,goodjob elements,1
stage-2,goodjob spirit,2
stage-2,havu-gaming epsilon,2
stage-2,hollywood avangar,1
stage-2,hollywood dream-eaters,1
stage-2,hollywood elements,2
stage-2,kinguin fragsters,2
stage-2,kinguin godsent,2
stage-2,kinguin havu-gaming,1
stage-2,kinguin noreg,2
stage-2,kinguin sprout,2
stage-2,kinguin valiance,2
stage-2,kinguin x-kom,1
stage-2,noreg epsilon,1
stage-2,pride kinguin,2
stage-2,quantum-bellator elements,1
stage-2,quantum-bellator forze,1
stage-2,quantum-bellator goodjob,2
stage-2,quantum-bellator hollywood,1
stage-2,quantum-bellator nemiga,1
stage-2,quantum-bellator rave,1
stage-2,quantum-bellator space-jam,1
stage-2,rave avangar,2
stage-2,rave elements,2
stage-2,red-reserve kinguin,1
stage-2,space-jam avangar,2
stage-2,space-jam elements,1
stage-2,space-jam spirit,2
stage-2,spirit dream-eaters,1
stage-2,spirit elements,1
stage-2,spirit fluffy-gangsters,1
stage-2,spirit hollywood,2
stage-2,spirit nemiga,1
stage-2,spirit quantum-bellator,2
stage-2,spirit rave,1
stage-2,sprout epsilon,1
stage-2,sprout godsent,1
stage-2,valiance epsilon,1
stage-2,valiance godsent,2
stage-2,x-kom godsent,2
playoff,elements elquvet,1
playoff,pro100 elements,1
playoff,pro100 quantum-bellator,1
playoff,quantum-bellator elquvet,1
playoff,forze gambit,2
playoff,fragsters gambit,1
playoff,fragsters vp,1
playoff,gambit godsent,2
playoff,godsent vp,2
playoff,hellraisers north,1
playoff,north forze,1
playoff,north fragsters,1
playoff,north godsent,1
playoff,north hellraisers,2
playoff,red-reserve vp,2
playoff,dream-eaters sj,2
playoff,nemiga dream-eaters,2
playoff,space-jam dream-eaters,1
group-stage,elements alpha,0
group-stage,elements outlaws,0
group-stage,igame.com elements,0
group-stage,space-soldiers extatus,2
group-stage,alternate penta,2
group-stage,binary-dragons space-soldiers,2
group-stage,epsilon kinguin,1
group-stage,flipsid3 vega-squadron,2
group-stage,flipsid3 vega-squadron,1
group-stage,igame.com vega-squadron,1
group-stage,kinguin epsilon,1
group-stage,kinguin hellraisers,2
group-stage,onceagainst flipsid3,2
group-stage,penta ldlc,2
group-stage,penta ldlc,1
group-stage,pride space-soldiers,2
group-stage,zzz epsilon,2
playoff,flipsid3 space-soldiers,2
playoff,igame.com penta,2
