stage,teams,result
promotion,luminosity misfits,1
promotion,team-dignitas heroic,2
promotion,vp space-soldiers,1
cis-open,elements kungar,1
cis-open,espada dream-eaters,2
cis-open,kungar k23,1
cis-open,nova elements,2
cis-open,wewillwin dream-eaters,2
europe-challenger,ago-gaming godsent,2
europe-challenger,elements ago-gaming,2
europe-challenger,gambit fragsters,1
europe-challenger,gambit heroic,1
europe-challenger,godsent imperial,1
europe-challenger,heroic ago-gaming,1
europe-challenger,heroic godsent,2
europe-challenger,heroic imperial,1
europe-challenger,navi elements,1
europe-challenger,navi gambit,2
europe-challenger,navi godsent,1
europe-challenger,navi godsent,2
europe-league,astralis envyus,1
europe-league,astralis faze,1
europe-league,astralis fnatic,1
europe-league,astralis g2-esports,1
europe-league,astralis gambit,1
europe-league,astralis godsent,1
europe-league,astralis mousesports,1
europe-league,astralis nip,1
europe-league,astralis vp,1
europe-league,envyus astralis,2
europe-league,envyus faze,1
europe-league,envyus fnatic,2
europe-league,envyus g2-esports,2
europe-league,envyus gambit,1
europe-league,envyus godsent,2
europe-league,envyus nip,1
europe-league,envyus vp,2
europe-league,faze astralis,2
europe-league,faze envyus,1
europe-league,faze fnatic,2
europe-league,faze g2-esports,1
europe-league,faze gambit,1
europe-league,faze godsent,2
europe-league,faze mousesports,1
europe-league,faze nip,2
europe-league,faze vp,1
europe-league,fnatic astralis,2
europe-league,fnatic envyus,1
europe-league,fnatic faze,2
europe-league,fnatic g2-esports,2
europe-league,fnatic gambit,1
europe-league,fnatic godsent,1
europe-league,fnatic mousesports,1
europe-league,fnatic nip,1
europe-league,fnatic vp,1
europe-league,g2-esports astralis,2
europe-league,g2-esports envyus,1
europe-league,g2-esports faze,1
europe-league,g2-esports fnatic,1
europe-league,g2-esports gambit,1
europe-league,g2-esports godsent,1
europe-league,g2-esports mousesports,1
europe-league,g2-esports nip,1
europe-league,g2-esports vp,1
europe-league,gambit astralis,2
europe-league,gambit envyus,1
europe-league,gambit faze,2
europe-league,gambit fnatic,1
europe-league,gambit g2-esports,2
europe-league,gambit godsent,2
europe-league,gambit mousesports,1
europe-league,gambit nip,2
europe-league,gambit vp,2
europe-league,godsent astralis,2
europe-league,godsent envyus,1
europe-league,godsent faze,2
europe-league,godsent fnatic,1
europe-league,godsent g2-esports,1
europe-league,godsent gambit,2
europe-league,godsent mousesports,1
europe-league,godsent nip,2
europe-league,godsent vp,1
europe-league,mousesports astralis,1
europe-league,mousesports envyus,2
europe-league,mousesports envyus,1
europe-league,mousesports faze,2
europe-league,mousesports fnatic,1
europe-league,mousesports g2-esports,1
europe-league,mousesports gambit,2
europe-league,mousesports godsent,1
europe-league,mousesports nip,2
europe-league,mousesports vp,1
europe-league,nip astralis,2
europe-league,nip envyus,1
europe-league,nip faze,2
europe-league,nip fnatic,2
europe-league,nip g2-esports,2
europe-league,nip gambit,1
europe-league,nip godsent,1
europe-league,nip mousesports,1
europe-league,nip vp,2
europe-league,vp astralis,2
europe-league,vp envyus,1
europe-league,vp faze,1
europe-league,vp fnatic,2
europe-league,vp g2-esports,1
europe-league,vp gambit,2
europe-league,vp godsent,1
europe-league,vp mousesports,2
europe-league,vp nip,2
europe,alternate dream-eaters,1
europe,alternate elements,2
europe,windigo mans-not-hot,2
europe,x6tence elements,2
group-stage,astralis cloud9,1
group-stage,astralis liquid,1
group-stage,cloud9 fnatic,2
group-stage,faze g2-esports,1
group-stage,faze luminosity,1
group-stage,fnatic liquid,2
group-stage,g2-esports luminosity,1
group-stage,liquid fnatic,1
group-stage,nrg faze,1
group-stage,nrg g2-esports,1
north-america-challenger,bravado one,2
north-america-challenger,complexity-gaming bravado,1
north-america-challenger,complexity-gaming rise-nation,1
north-america-challenger,one rise-nation,2
north-america-challenger,rise-nation ghost-gaming,1
north-america-challenger,rise-nation one,1
north-america-challenger,rogue ghost-gaming,1
north-america-challenger,splyce one,2
north-america-challenger,team-blackout ghost-gaming,2
north-america-league,cloud9 complexity-gaming,1
north-america-league,cloud9 eunited,1
north-america-league,cloud9 liquid,1
north-america-league,cloud9 luminosity,2
north-america-league,cloud9 nrg,2
north-america-league,cloud9 optic,1
north-america-league,cloud9 renegades,2
north-america-league,cloud9 rogue,1
north-america-league,cloud9 sk,1
north-america-league,complexity-gaming cloud9,2
north-america-league,complexity-gaming eunited,2
north-america-league,complexity-gaming liquid,2
north-america-league,complexity-gaming luminosity,1
north-america-league,complexity-gaming nrg,2
north-america-league,complexity-gaming optic,2
north-america-league,complexity-gaming renegades,1
north-america-league,complexity-gaming rogue,2
north-america-league,complexity-gaming sk,2
north-america-league,eunited cloud9,1
north-america-league,eunited complexity-gaming,1
north-america-league,eunited liquid,1
north-america-league,eunited luminosity,1
north-america-league,eunited nrg,2
north-america-league,eunited optic,1
north-america-league,eunited renegades,2
north-america-league,eunited rogue,2
north-america-league,eunited sk,2
north-america-league,liquid cloud9,1
north-america-league,liquid complexity-gaming,1
north-america-league,liquid eunited,2
north-america-league,liquid luminosity,1
north-america-league,liquid nrg,2
north-america-league,liquid optic,1
north-america-league,liquid renegades,1
north-america-league,liquid rogue,1
north-america-league,liquid sk,2
north-america-league,luminosity cloud9,2
north-america-league,luminosity complexity-gaming,1
north-america-league,luminosity eunited,1
north-america-league,luminosity liquid,2
north-america-league,luminosity nrg,2
north-america-league,luminosity optic,1
north-america-league,luminosity renegades,1
north-america-league,luminosity rogue,1
north-america-league,luminosity sk,1
north-america-league,nrg cloud9,2
north-america-league,nrg complexity-gaming,1
north-america-league,nrg eunited,1
north-america-league,nrg liquid,1
north-america-league,nrg luminosity,1
north-america-league,nrg optic,1
north-america-league,nrg renegades,1
north-america-league,nrg rogue,1
north-america-league,nrg sk,1
north-america-league,optic cloud9,2
north-america-league,optic complexity-gaming,2
north-america-league,optic eunited,2
north-america-league,optic liquid,1
north-america-league,optic luminosity,1
north-america-league,optic nrg,2
north-america-league,optic renegades,2
north-america-league,optic rogue,2
north-america-league,optic sk,2
north-america-league,renegades cloud9,2
north-america-league,renegades complexity-gaming,1
north-america-league,renegades eunited,1
north-america-league,renegades liquid,2
north-america-league,renegades luminosity,2
north-america-league,renegades nrg,2
north-america-league,renegades optic,1
north-america-league,renegades rogue,1
north-america-league,renegades sk,1
north-america-league,rogue cloud9,2
north-america-league,rogue complexity-gaming,1
north-america-league,rogue eunited,1
north-america-league,rogue liquid,2
north-america-league,rogue luminosity,1
north-america-league,rogue nrg,2
north-america-league,rogue optic,1
north-america-league,rogue renegades,1
north-america-league,rogue sk,2
north-america-league,sk cloud9,2
north-america-league,sk complexity-gaming,1
north-america-league,sk eunited,2
north-america-league,sk liquid,1
north-america-league,sk luminosity,2
north-america-league,sk nrg,2
north-america-league,sk optic,1
north-america-league,sk renegades,2
north-america-league,sk rogue,1
north-america,one 2k-usa,1
north-america,one lfao,1
north-america,team-dignitas bravado,2
playoff,astralis faze,1
playoff,liquid astralis,2
playoff,nrg liquid,2
europe-challenger,epsilon space-soldiers,1
europe-challenger,gambit havu-gaming,2
europe-challenger,gambit hellraisers,1
europe-challenger,havu-gaming epsilon,1
europe-challenger,havu-gaming ldlc,2
europe-challenger,hellraisers ldlc,2
europe-challenger,ldlc north,2
europe-challenger,north epsilon,1
europe-challenger,north optic,1
europe-challenger,optic gambit,1
europe-challenger,optic havu-gaming,1
europe-challenger,optic ldlc,1
europe-challenger,optic space-soldiers,1
europe-league,astralis faze,1
europe-league,astralis fnatic,1
europe-league,astralis g2-esports,1
europe-league,astralis ldlc,2
europe-league,astralis mousesports,1
europe-league,astralis nip,1
europe-league,astralis north,1
europe-league,astralis optic,1
europe-league,astralis vp,1
europe-league,faze astralis,2
europe-league,faze fnatic,1
europe-league,faze g2-esports,2
europe-league,faze ldlc,1
europe-league,faze mousesports,2
europe-league,faze nip,2
europe-league,faze north,1
europe-league,faze optic,2
europe-league,faze vp,1
europe-league,fnatic astralis,2
europe-league,fnatic faze,2
europe-league,fnatic g2-esports,2
europe-league,fnatic ldlc,1
europe-league,fnatic mousesports,2
europe-league,fnatic nip,2
europe-league,fnatic north,2
europe-league,fnatic optic,1
europe-league,fnatic vp,2
europe-league,g2-esports astralis,2
europe-league,g2-esports faze,2
europe-league,g2-esports fnatic,2
europe-league,g2-esports ldlc,2
europe-league,g2-esports mousesports,2
europe-league,g2-esports nip,2
europe-league,g2-esports north,2
europe-league,g2-esports optic,2
europe-league,g2-esports vp,1
europe-league,ldlc astralis,2
europe-league,ldlc faze,1
europe-league,ldlc fnatic,1
europe-league,ldlc g2-esports,2
europe-league,ldlc mousesports,1
europe-league,ldlc nip,2
europe-league,ldlc north,2
europe-league,ldlc optic,1
europe-league,ldlc vp,1
europe-league,mousesports astralis,2
europe-league,mousesports faze,1
europe-league,mousesports fnatic,2
europe-league,mousesports g2-esports,1
europe-league,mousesports ldlc,1
europe-league,mousesports nip,2
europe-league,mousesports north,2
europe-league,mousesports optic,1
europe-league,mousesports vp,1
europe-league,nip astralis,2
europe-league,nip faze,2
europe-league,nip fnatic,2
europe-league,nip g2-esports,2
europe-league,nip ldlc,1
europe-league,nip mousesports,2
europe-league,nip north,2
europe-league,nip optic,1
europe-league,nip vp,1
europe-league,north astralis,2
europe-league,north faze,2
europe-league,north fnatic,1
europe-league,north g2-esports,1
europe-league,north ldlc,1
europe-league,north mousesports,2
europe-league,north nip,1
europe-league,,
europe-league,,
europe-league,optic astralis,2
europe-league,,
europe-league,,
europe-league,,
europe-league,,
europe-league,optic mousesports,1
europe-league,,
europe-league,optic north,2
europe-league,,
europe-league,vp astralis,2
europe-league,vp faze,1
europe-league,vp fnatic,1
europe-league,vp g2-esports,1
europe-league,vp ldlc,2
europe-league,vp mousesports,2
europe-league,vp nip,2
europe-league,vp north,2
europe-league,vp optic,1
group-stage,astralis cloud9,1
group-stage,astralis made-in-brazil,2
group-stage,astralis mousesports,1
group-stage,cloud9 mousesports,2
group-stage,liquid north,2
group-stage,mousesports made-in-brazil,2
group-stage,nip north,1
group-stage,north nrg,1
group-stage,nrg liquid,1
group-stage,nrg nip,2
north-america-challenger,bravado made-in-brazil,2
north-america-challenger,complexity-gaming bravado,1
north-america-challenger,complexity-gaming lmfaooo,1
north-america-challenger,furia bravado,2
north-america-challenger,gorilla-gang furia,1
north-america-challenger,gorilla-gang made-in-brazil,2
north-america-challenger,lmfaooo furia,2
north-america-challenger,made-in-brazil azio-esports,2
north-america-challenger,one gorilla-gang,2
north-america-challenger,one made-in-brazil,2
north-america-league,azio-esports liquid,2
north-america-league,azio-esports luminosity,2
north-america-league,azio-esports made-in-brazil,2
north-america-league,cloud9 complexity-gaming,1
north-america-league,cloud9 eunited,1
north-america-league,cloud9 liquid,2
north-america-league,cloud9 luminosity,1
north-america-league,cloud9 made-in-brazil,1
north-america-league,cloud9 nrg,2
north-america-league,cloud9 renegades,2
north-america-league,cloud9 rogue,2
north-america-league,cloud9 spacestation,1
north-america-league,complexity-gaming cloud9,1
north-america-league,complexity-gaming eunited,1
north-america-league,complexity-gaming liquid,1
north-america-league,complexity-gaming luminosity,1
north-america-league,complexity-gaming made-in-brazil,2
north-america-league,complexity-gaming nrg,1
north-america-league,complexity-gaming renegades,2
north-america-league,complexity-gaming rogue,1
north-america-league,complexity-gaming spacestation,1
north-america-league,eunited cloud9,2
north-america-league,eunited complexity-gaming,1
north-america-league,eunited liquid,2
north-america-league,eunited luminosity,1
north-america-league,eunited made-in-brazil,2
north-america-league,eunited nrg,2
north-america-league,eunited renegades,2
north-america-league,eunited rogue,1
north-america-league,eunited spacestation,1
north-america-league,liquid azio-esports,1
north-america-league,liquid cloud9,2
north-america-league,liquid complexity-gaming,1
north-america-league,liquid eunited,1
north-america-league,liquid luminosity,1
north-america-league,liquid made-in-brazil,1
north-america-league,liquid nrg,2
north-america-league,liquid renegades,2
north-america-league,liquid rogue,1
north-america-league,luminosity azio-esports,2
north-america-league,luminosity cloud9,1
north-america-league,luminosity complexity-gaming,2
north-america-league,luminosity eunited,1
north-america-league,luminosity liquid,2
north-america-league,luminosity made-in-brazil,2
north-america-league,luminosity nrg,2
north-america-league,luminosity renegades,2
north-america-league,luminosity rogue,2
north-america-league,made-in-brazil azio-esports,1
north-america-league,made-in-brazil cloud9,1
north-america-league,made-in-brazil complexity-gaming,1
north-america-league,made-in-brazil eunited,2
north-america-league,made-in-brazil liquid,1
north-america-league,made-in-brazil luminosity,1
north-america-league,made-in-brazil nrg,1
north-america-league,made-in-brazil renegades,2
north-america-league,made-in-brazil rogue,1
north-america-league,nrg cloud9,1
north-america-league,nrg complexity-gaming,2
north-america-league,nrg eunited,1
north-america-league,nrg liquid,1
north-america-league,nrg luminosity,1
north-america-league,nrg made-in-brazil,2
north-america-league,nrg renegades,1
north-america-league,nrg rogue,2
north-america-league,nrg spacestation,1
north-america-league,renegades cloud9,2
north-america-league,renegades complexity-gaming,1
north-america-league,renegades eunited,2
north-america-league,renegades liquid,1
north-america-league,renegades luminosity,1
north-america-league,renegades made-in-brazil,1
north-america-league,renegades nrg,2
north-america-league,renegades rogue,2
north-america-league,renegades spacestation,1
north-america-league,rogue cloud9,2
north-america-league,rogue complexity-gaming,1
north-america-league,rogue eunited,1
north-america-league,rogue liquid,2
north-america-league,rogue luminosity,1
north-america-league,rogue made-in-brazil,1
north-america-league,rogue nrg,2
north-america-league,rogue renegades,2
north-america-league,spacestation cloud9,2
north-america-league,spacestation complexity-gaming,1
north-america-league,spacestation eunited,2
north-america-league,spacestation nrg,2
north-america-league,spacestation renegades,2
playoff,astralis made-in-brazil,1
playoff,made-in-brazil north,1
playoff,nip astralis,2
europe-challenger,ago-gaming heroic,2
europe-challenger,ago-gaming nemiga,1
europe-challenger,ago-gaming vitality,2
europe-challenger,avangar epsilon,1
europe-challenger,avangar sprout,1
europe-challenger,avangar vitality,1
europe-challenger,chaos-esports-club epsilon,2
europe-challenger,epsilon movistar-riders,1
europe-challenger,heroic spirit,1
europe-challenger,heroic windigo,2
europe-challenger,heroic x6tence-galaxy,2
europe-challenger,nemiga vitality,2
europe-challenger,spirit nemiga,2
europe-challenger,spirit sprout,2
europe-challenger,sprout windigo,1
europe-challenger,valiance avangar,1
europe-challenger,valiance windigo,1
europe-challenger,vitality chaos-esports-club,1
europe-challenger,vitality epsilon,1
europe-challenger,windigo movistar-riders,2
europe-challenger,windigo nemiga,1
europe-challenger,x-kom heroic,2
europe-challenger,x6tence-galaxy epsilon,2
europe-open,average25iqbutheadshots epsilon,2
europe-open,epsilon nemiga,2
europe-open,epsilon tricked,1
europe-open,fate nemiga,2
europe-open,gambit chaos-esports-club,1
europe-open,gambit epsilon,2
europe-open,giants-gaming uruguay,2
europe-open,movistar-riders pro100,1
europe-open,nochance heroic,2
europe-open,tricked heroic,2
europe-regular,astralis avangar,1
europe-regular,astralis ldlc,1
europe-regular,astralis nip,1
europe-regular,avangar epsilon,1
europe-regular,avangar forze,1
europe-regular,avangar mousesports,1
europe-regular,avangar nip,2
europe-regular,epsilon nip,2
europe-regular,faze g2-esports,1
europe-regular,faze optic,2
europe-regular,faze vp,2
europe-regular,faze vp,1
europe-regular,fnatic avangar,1
europe-regular,fnatic optic,2
europe-regular,fnatic vp,1
europe-regular,forze avangar,2
europe-regular,g2-esports mousesports,2
europe-regular,ldlc vitality,2
europe-regular,mousesports fnatic,1
europe-regular,mousesports nip,2
europe-regular,mousesports vitality,2
europe-regular,nip faze,1
europe-regular,nip forze,1
europe-regular,north avangar,2
europe-regular,north avangar,1
europe-regular,north vitality,1
europe-regular,north vp,1
europe-regular,optic avangar,1
europe-regular,optic g2-esports,1
europe-regular,optic nip,1
europe-regular,optic vitality,2
europe-regular,valiance vitality,2
europe-regular,vitality vp,1
europe-regular,vp avangar,2
group-stage,astralis furia,2
group-stage,astralis nip,1
group-stage,complexity-gaming made-in-brazil,1
group-stage,complexity-gaming vitality,2
group-stage,furia astralis,1
group-stage,furia nrg,2
group-stage,made-in-brazil north,2
group-stage,nip nrg,2
group-stage,vitality complexity-gaming,1
group-stage,vitality north,2
north-america-challenger,denial one,1
north-america-challenger,furia final-feature,1
north-america-challenger,furia one,1
north-america-challenger,furia the-quest,1
north-america-challenger,one ex-intact,1
north-america-challenger,one massiveimpact,1
north-america-challenger,one zone-esports,1
north-america-challenger,singularity furia,1
north-america-open,ghost-gaming big-frames,1
north-america-open,ghost-gaming ex-intact,1
north-america-regular,bad-news-bears cloud9,2
north-america-regular,cloud9 eunited,1
north-america-regular,cloud9 luminosity,2
north-america-regular,complexity-gaming bad-news-bears,1
north-america-regular,complexity-gaming eunited,1
north-america-regular,complexity-gaming furia,2
north-america-regular,complexity-gaming nrg,1
north-america-regular,furia intz-esports,1
north-america-regular,furia luminosity,1
north-america-regular,furia spacestation,1
north-america-regular,intz-esports cloud9,1
north-america-regular,intz-esports eunited,1
north-america-regular,intz-esports liquid,2
north-america-regular,intz-esports luminosity,1
north-america-regular,liquid rogue,2
north-america-regular,liquid spacestation,1
north-america-regular,liquid spacestation,1
north-america-regular,luminosity furia,2
north-america-regular,luminosity intz-esports,1
north-america-regular,luminosity liquid,2
north-america-regular,made-in-brazil cloud9,1
north-america-regular,made-in-brazil eunited,1
north-america-regular,made-in-brazil liquid,1
north-america-regular,made-in-brazil liquid,1
north-america-regular,nrg eunited,2
north-america-regular,nrg furia,1
north-america-regular,nrg intz-esports,1
north-america-regular,nrg spacestation,1
north-america-regular,nrg spacestation,1
north-america-regular,rogue complexity-gaming,1
north-america-regular,rogue luminosity,1
north-america-regular,singularity luminosity,2
north-america-regular,singularity made-in-brazil,2
north-america-regular,singularity made-in-brazil,2
playoff,furia vitality,2
playoff,north furia,2
playoff,nrg vitality,2
europe-challenger,ambush cr4zy,1
europe-challenger,ambush espada,2
europe-challenger,big espada,1
europe-challenger,big forze,1
europe-challenger,big gamerlegion,1
europe-challenger,bluejays-international espada,2
europe-challenger,cr4zy m1x,2
europe-challenger,forze ambush,1
europe-challenger,forze heretics,2
europe-challenger,forze se7en,2
europe-challenger,gamerlegion espada,2
europe-challenger,gamerlegion spirit,2
europe-challenger,heretics sprout,2
europe-challenger,heroic se7en,1
europe-challenger,heroic spirit,1
europe-challenger,heroic windigo,1
europe-challenger,m1x tricked,2
europe-challenger,m1x windigo,1
europe-challenger,spirit cr4zy,1
europe-challenger,spirit japaleno,2
europe-challenger,sprout forze,2
europe-challenger,sprout se7en,2
europe-challenger,sprout windigo,2
europe-challenger,tricked bluejays-international,1
europe-challenger,tricked heroic,1
europe-challenger,windigo espada,1
europe-challenger,windigo spirit,1
europe-open,chaos-esports-club gambit-youngsters,1
europe-open,espada potatosquad,1
europe-open,expert-gaming espada,2
europe-open,fierce-esports big,2
europe-open,gambit-youngsters heretics,2
europe-open,goldengitte big,2
europe-open,playing-ducks gambit-youngsters,2
europe-regular,astralis big,1
europe-regular,astralis faze,1
europe-regular,astralis m1x,1
europe-regular,avangar fnatic,1
europe-regular,avangar forze,1
europe-regular,avangar vp,1
europe-regular,big fnatic,2
europe-regular,big nip,2
europe-regular,big tricked,1
europe-regular,espada vp,2
europe-regular,faze big,2
europe-regular,faze heroic,1
europe-regular,forze ambush,1
europe-regular,forze japaleno,1
europe-regular,heretics fnatic,2
europe-regular,heretics nip,2
europe-regular,heretics tricked,2
europe-regular,heroic avangar,1
europe-regular,heroic big,1
europe-regular,japaleno heroic,1
europe-regular,m1x avangar,2
europe-regular,m1x nip,2
europe-regular,m1x tricked,1
europe-regular,mousesports m1x,2
europe-regular,mousesports vp,2
europe-regular,north big,2
europe-regular,tricked fnatic,2
europe-regular,tricked north,1
europe-regular,tricked se7en,1
europe-regular,,
europe-regular,vp faze,2
europe-regular,vp faze,1
europe-regular,vp fnatic,2
europe-regular,vp heroic,2
europe-regular,,
group-stage,astralis fnatic,1
group-stage,astralis sharks,1
group-stage,avangar nip,2
group-stage,evil-geniuses avangar,1
group-stage,evil-geniuses liquid,2
group-stage,evil-geniuses nip,1
group-stage,fnatic made-in-brazil,1
group-stage,fnatic made-in-brazil,1
group-stage,liquid nip,1
group-stage,,
north-america-challenger,,
north-america-challenger,big-frames one,2
north-america-challenger,,
north-america-challenger,rap-gang sharks,2
north-america-challenger,sharks mythic,1
north-america-challenger,sharks team-divine,1
north-america-challenger,,
north-america-regular,,
north-america-regular,atk complexity-gaming,1
north-america-regular,atk eunited,1
north-america-regular,atk made-in-brazil,2
north-america-regular,atk sharks,1
north-america-regular,cloud9 evil-geniuses,2
north-america-regular,cloud9 ex-luminosity-gaming,1
north-america-regular,cloud9 intz-esports,2
north-america-regular,cloud9 nrg,2
north-america-regular,complexity-gaming evil-geniuses,2
north-america-regular,eunited made-in-brazil,2
north-america-regular,ex-singularity eunited,2
north-america-regular,ex-singularity evil-geniuses,2
north-america-regular,furia cloud9,2
north-america-regular,furia riot-squad-esports,1
north-america-regular,intz-esports cloud9,2
north-america-regular,intz-esports eunited,2
north-america-regular,liquid atk,1
north-america-regular,liquid eunited,1
north-america-regular,liquid ex-singularity,1
north-america-regular,liquid intz-esports,1
north-america-regular,liquid sharks,2
north-america-regular,made-in-brazil atk,2
north-america-regular,made-in-brazil ex-luminosity-gaming,1
north-america-regular,one ex-singularity,2
north-america-regular,riot-squad-esports complexity-gaming,2
north-america-regular,sharks cloud9,1
north-america-regular,sharks intz-esports,1
north-america-regular,sharks nrg,2
north-america-regular,sharks the-quest,1
north-america-regular,singularity cloud9,2
north-america-regular,singularity nrg,2
north-america-regular,the-quest made-in-brazil,2
playoff,astralis evil-geniuses,1
playoff,astralis liquid,1
playoff,liquid fnatic,1
closed-qualifier,1win cyber-legacy,2
closed-qualifier,cyber-legacy 100pinggods,1
closed-qualifier,giants-gaming natus-vincere-junior,2
closed-qualifier,natus-vincere-junior ago-gaming,1
closed-qualifier,project-x ago-gaming,2
closed-qualifier,winstrike cyber-legacy,2
group-stage,alternate natus-vincere-junior,2
group-stage,espada movistar-riders,1
group-stage,espada movistar-riders,2
group-stage,forze budapest-five,2
group-stage,forze endpoint,2
group-stage,heretics hellraisers,2
group-stage,illuminar-gaming forze,2
group-stage,k23 alternate,1
group-stage,k23 copenhagen-flames,1
group-stage,natus-vincere-junior alternate,2
group-stage,saw espada,1
group-stage,skade hellraisers,2
playoff,hellraisers natus-vincere-junior,2
playoff,k23 saw,1
playoff,k23 skade,1
playoff,movistar-riders k23,2
closed-qualifier,sinners-ch grond,1
closed-qualifier,tricked ex-ethereal,2
closed-qualifier,tricked in-game,1
closed-qualifier,tricked wisla-krakow,1
group-stage,ex-ethereal forze,2
group-stage,ex-ethereal sprout,2
group-stage,forze lyngby-vikings,2
group-stage,hellraisers budapest-five,2
group-stage,hellraisers sangal,1
group-stage,hellraisers skade,1
group-stage,k23 izako-boars,2
group-stage,k23 movistar-riders,2
group-stage,lyngby-vikings forze,2
group-stage,nemiga tpt,1
group-stage,sprout lyngby-vikings,1
group-stage,young-ninjas nemiga,2
playoff,movistar-riders sprout,2
playoff,nemiga forze,1
playoff,nemiga movistar-riders,2
playoff,sinners-ch hellraisers,1
playoff,sinners-ch sprout,2
playoff,sprout saw,1
closed-qualifier,alternate skade,2
closed-qualifier,grond alternate,2
closed-qualifier,grond entropiq,1
closed-qualifier,s-gaming alternate,2
closed-qualifier,tricked beznadejdi,2
germany,alternate cowana,1
germany,alternate ttc,1
germany,alternate unicorns-of-love,1
germany,cowana penta,2
germany,no-limit-gaming alternate,2
germany,no-limit-gaming penta,1
germany,ttc penta,1
germany,ttc penta,2
group-stage,ence double-poney,1
group-stage,ence gameagents,1
group-stage,ence skade,2
group-stage,sprout young-ninjas,1
group-stage,team-spirit-academy sprout,2
playoff,ence endpoint,1
playoff,skade ence,1
playoff,sprout ence,2
closed-qualifier,1win mad-lions,1
closed-qualifier,ex-marlian ldlc,1
closed-qualifier,fiend grond,1
closed-qualifier,grond b-k-scsabai-e-sport-egyes,1
closed-qualifier,ldlc pixlip-gaming,1
closed-qualifier,ldlc project-eversio,1
group-stage,akuma ex-marlian,1
group-stage,akuma hyenas,2
group-stage,double-poney tricked,1
group-stage,entropiq fiend,1
group-stage,entropiq izako-boars,1
group-stage,in-game akuma,2
group-stage,sangal tricked,2
group-stage,tricked sangal,2
open-qualifiers,quantum-bellator oilers,1
open-qualifiers,quantum-bellator s-gaming,1
open-qualifiers,quantum-bellator ttc,2
playoff,double-poney akuma,1
playoff,entropiq double-poney,1
playoff,entropiq trident-clan,1
playoff,sangal entropiq,2
closed-qualifier,banka-pepsi project-eversio,1
week-1,ago-gaming k23,1
week-1,alternate fate,1
week-1,alternate nemiga,1
week-1,apeks alternate,1
week-1,ex-smash ago-gaming,2
week-1,forze ago-gaming,2
week-1,forze singularity,1
week-1,forze skade,1
week-1,gambit-youngsters nordavind,2
week-1,gambit-youngsters skade,2
week-1,hard-legion illuminar-gaming,2
week-1,hard-legion saw,2
week-1,hellraisers ago-gaming,2
week-1,k23 hellraisers,2
week-1,nemiga apeks,2
week-1,nemiga fate,1
week-1,nordavind ago-gaming,1
week-1,nordavind ago-gaming,1
week-1,nordavind hellraisers,1
week-1,saw alternate,1
week-1,singularity gambit-youngsters,2
week-1,skade gambit-youngsters,2
week-10,endpoint sprout,2
week-10,fate forze,2
week-10,forze sprout,1
week-10,forze x6tence,1
week-10,galaxy-racer north,2
week-10,gambit-youngsters apeks,1
week-10,gambit-youngsters hellraisers,1
week-10,gambit-youngsters x6tence,2
week-10,hellraisers fate,2
week-10,mad-lions forze,2
week-10,mad-lions heretics,1
week-10,mad-lions x6tence,2
week-10,made-in-brazil galaxy-racer,2
week-10,made-in-brazil pact,2
week-10,north forze,2
week-10,north saw,1
week-10,sprout north,2
week-10,sprout wisla-krakow,1
week-10,sprout wisla-krakow,1
week-10,x6tence north,2
week-2,alternate endpoint,1
week-2,alternate lyngby-vikings,1
week-2,avez cr4zy,1
week-2,cr4zy alternate,2
week-2,cr4zy fate,1
week-2,fate hard-legion,1
week-2,forze agf,1
week-2,forze endpoint,2
week-2,forze k23,1
week-2,forze s-gaming,2
week-2,hard-legion cr4zy,2
week-2,hellraisers agf,1
week-2,hellraisers alternate,2
week-2,hellraisers budapest-five,1
week-2,honoris alternate,2
week-2,k23 budapest-five,1
week-2,k23 ldlc,1
week-2,ldlc budapest-five,2
week-2,ldlc illuminar-gaming,1
week-2,s-gaming forze,2
week-2,s-gaming hellraisers,2
week-3,agf cr4zy,1
week-3,agf cr4zy,2
week-3,alternate k23,1
week-3,cr4zy alternate,2
week-3,fate alternate,1
week-3,fate gambit-youngsters,1
week-3,gambit-youngsters avez,1
week-3,gambit-youngsters illuminar-gaming,2
week-3,gambit-youngsters lyngby-vikings,1
week-3,hard-legion alternate,2
week-3,hard-legion k23,1
week-3,hard-legion s-gaming,1
week-3,hellraisers agf,1
week-3,hellraisers hard-legion,2
week-3,hellraisers honoris,1
week-3,honoris cr4zy,2
week-3,illuminar-gaming hard-legion,1
week-3,s-gaming k23,2
week-4,cr4zy avez,1
week-4,cr4zy honoris,1
week-4,cr4zy natus-vincere-junior,1
week-4,fate ldlc,2
week-4,gambit-youngsters budapest-five,1
week-4,gambit-youngsters k23,1
week-4,gambit-youngsters ldlc,1
week-4,gambit-youngsters lyngby-vikings,1
week-4,illuminar-gaming ldlc,2
week-4,k23 avez,1
week-4,k23 level-up,1
week-4,k23 natus-vincere-junior,1
week-4,,
week-4,ldlc fate,1
week-4,ldlc gambit-youngsters,2
week-5,alternate budapest-five,1
week-5,avez gambit-youngsters,2
week-5,bluejays-international alternate,2
week-5,cr4zy s-gaming,2
week-5,gambit-youngsters bluejays-international,1
week-5,gambit-youngsters natus-vincere-junior,1
week-5,,
week-5,k23 gamerlegion,2
week-5,k23 tikitakan,1
week-5,k23 tikitakan,2
week-5,natus-vincere-junior alternate,1
